size,q,count,time_elapsed
3,2,2,0.002493
3,3,246,0.002493
3,4,9612,0.002493
3,5,142820,0.002493
3,6,1166910,0.002493
3,7,6464682,0.002493
3,8,27350456,0.002493
3,9,95004072,0.002493
3,10,283982490,0.002493
3,11,754324670,0.002493
3,12,1821684612,0.002493
3,13,4067709516,0.002493
3,14,8506024982,0.002493
3,15,16822697010,0.002493
4,2,2,0.004900
4,3,7812,0.004900
4,4,6000732,0.004900
4,5,828850160,0.004900
4,6,38128724910,0.004900
4,7,856858754052,0.004900
4,8,11722360851992,0.004900
4,9,111647093496192,0.004900
4,10,807567269568570,0.004900
4,11,4707230299664420,0.004900
4,12,23062698161984052,0.004900
4,13,97963534144477872,0.004900
4,14,369313246327400102,0.004900
4,15,1258250118125770980,0.004900
5,2,2,0.029099
5,3,580986,0.029099
5,4,20442892764,0.029099
5,5,50820390410180,0.029099
5,6,21977869327169310,0.029099
5,7,3031776844080257742,0.029099
5,8,189586772101347563096,0.029099
5,9,6660747304179593671944,0.029099
5,10,151086899096935604867610,0.029099
5,11,2432514752747773742479970,0.029099
5,12,29730874656484222810604532,0.029099
5,13,289814278376886365788686156,0.029099
5,14,2338706558881006527354278774,0.029099
5,15,16079941149554432258574500790,0.029099
6,2,2,0.211388
6,3,101596896,0.211388
6,4,380053267505964,0.211388
6,5,32921147633979091400,0.211388
6,6,223479277713132418833390,0.211388
6,7,286359202456130400260611752,0.211388
6,8,115702677512781649307005417016,0.211388
6,9,20172922880766721483554814468464,0.211388
6,10,1859669891770248856476997904547450,0.211388
6,11,104094652664259277009814001042264080,0.211388
6,12,3902706595258725042220943436744767652,0.211388
6,13,105321232530952648899117870043962825336,0.211388
6,14,2160076836868464110960157773766060869414,0.211388
6,15,35111392067312546609182417173618968309400,0.211388
7,2,2,2.465537
7,3,41869995708,2.465537
7,4,38557892676685306572,2.465537
7,5,225313329780157255086187280,2.465537
7,6,40087345104573458097599768622030,2.465537
7,7,722022905627873731429602000554432412,2.465537
7,8,2664533696267986042969615868160108207608,2.465537
7,9,3101594610276176352440997042418550841885312,2.465537
7,10,1505933744255415534793832118356329294462055610,2.465537
7,11,368879277984660057018944113007596468930552762460,2.465537
7,12,52165666940966795634555971171590612361421172621572,2.465537
7,13,4701678278015774960172015306840176414525523362269008,2.465537
7,14,290988136771156891920507578262485806342801661960991302,2.465537
7,15,13099591719762965565281394772689392638859825972900575740,2.465537
